map_name,scen_id,n_agents,solver_name,reward,total_time,exec_time,train_time,end_reason,steps,replans_max_size,replans_count,max_steps_window,max_reached_window,max_expanded_window,n_livelock,n_conflicts,eval_time,init_time,conflicts_time,n_iterations
maze-32-32-4,online_window_dijkstra_2,5,1,-146,5.37718,5.37718,0,success,146,0,0,146,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,5,1,-109,3.90336,3.90336,0,success,109,0,0,109,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,5,1,-133,4.39608,4.39608,0,success,133,0,0,133,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,5,1,-126,5.76457,5.76457,0,success,126,0,0,126,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,5,1,-116,3.97305,3.97305,0,success,116,0,0,116,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,5,1,-124,4.60211,4.60211,0,success,124,0,0,124,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,5,1,-101,3.45307,3.45307,0,success,101,0,0,101,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,5,1,-97,5.15933,5.15933,0,success,97,0,0,97,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,5,1,-109,4.42761,4.42761,0,success,109,0,0,109,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,5,1,-108,3.77752,3.77752,0,success,108,0,0,108,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,5,1,-110,3.79782,3.79782,0,success,110,0,0,110,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,5,1,-167,5.95974,5.95974,0,success,167,0,0,167,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,5,1,-106,5.80094,5.80094,0,success,106,0,0,106,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,5,1,-115,5.43151,5.43151,0,success,115,0,0,115,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,5,1,-158,5.33,5.33,0,success,158,0,0,158,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,5,1,-98,5.44875,5.44875,0,success,98,0,0,98,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,5,1,-128,5.22676,5.22676,0,success,128,0,0,128,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,5,1,-93,4.74341,4.74341,0,success,93,0,0,93,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,6,1,-48,2.51653,2.51653,0,success,48,0,0,48,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,6,1,-37,2.00914,2.00914,0,success,37,0,0,37,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,6,1,-38,1.91526,1.91526,0,success,38,0,0,38,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,6,1,-36,1.99545,1.99545,0,success,36,0,0,36,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,6,1,-22,1.44603,1.44603,0,success,22,0,0,22,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,6,1,-30,1.87696,1.87696,0,success,30,0,0,30,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,6,1,-47,2.34572,2.34572,0,success,47,0,0,47,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,6,1,-49,2.40628,2.40628,0,success,49,0,0,49,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,6,1,-41,1.81173,1.81173,0,success,41,0,0,41,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,6,1,-28,1.41685,1.41685,0,success,28,0,0,28,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,6,1,-36,2.08113,2.08113,0,success,36,0,0,36,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,6,1,-33,1.88483,1.88483,0,success,33,0,0,33,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,6,1,-44,2.3055,2.3055,0,success,44,0,0,44,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,6,1,-24,1.12692,1.12692,0,success,24,0,0,24,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,6,1,-37,1.46747,1.46747,0,success,37,0,0,37,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,6,1,-28,1.72658,1.72658,0,success,28,0,0,28,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,6,1,-25,1.07645,1.07645,0,success,25,0,0,25,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,6,1,-37,1.94525,1.94525,0,success,37,0,0,37,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,6,1,-38,1.92013,1.92013,0,success,38,0,0,38,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,6,1,-39,2.16276,2.16276,0,success,39,0,0,39,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,6,1,-27,2.28931,2.28931,0,success,27,0,0,27,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,6,1,-41,1.97125,1.97125,0,success,41,0,0,41,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,6,1,-33,1.77088,1.77088,0,success,33,0,0,33,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,6,1,-45,2.26708,2.26708,0,success,45,0,0,45,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,6,1,-47,2.39219,2.39219,0,success,47,0,0,47,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,6,1,-47,2.53721,2.53721,0,success,47,0,0,47,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,6,1,-32,1.6836,1.6836,0,success,32,0,0,32,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,6,1,-31,1.84256,1.84256,0,success,31,0,0,31,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,6,1,-28,1.7247,1.7247,0,success,28,0,0,28,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,6,1,-37,1.87398,1.87398,0,success,37,0,0,37,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,7,1,-4,0.473485,0.473485,0,success,4,0,0,4,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,7,1,-11,0.837516,0.837516,0,success,11,0,0,11,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,7,1,-4,0.471634,0.471634,0,success,4,0,0,4,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,7,1,-3,0.436089,0.436089,0,success,3,0,0,3,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,7,1,-20,1.11261,1.11261,0,success,20,0,0,20,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,7,1,-10,0.542532,0.542532,0,success,10,0,0,10,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,7,1,-10,0.551012,0.551012,0,success,10,0,0,10,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,7,1,-6,0.61068,0.61068,0,success,6,0,0,6,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,7,1,-9,0.706339,0.706339,0,success,9,0,0,9,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,7,1,-3,0.463539,0.463539,0,success,3,0,0,3,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,7,1,-9,0.737041,0.737041,0,success,9,0,0,9,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,7,1,-15,0.985705,0.985705,0,success,15,0,0,15,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,7,1,-3,0.426829,0.426829,0,success,3,0,0,3,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,7,1,-13,0.845914,0.845914,0,success,13,0,0,13,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,7,1,-25,1.50545,1.50545,0,success,25,0,0,25,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,7,1,-23,1.22673,1.22673,0,success,23,0,0,23,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,7,1,-8,0.692235,0.692235,0,success,8,0,0,8,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,7,1,-17,1.00783,1.00783,0,success,17,0,0,17,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,7,1,-6,0.578406,0.578406,0,success,6,0,0,6,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,7,1,-15,0.986146,0.986146,0,success,15,0,0,15,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,7,1,-6,0.628923,0.628923,0,success,6,0,0,6,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,7,1,-12,0.765029,0.765029,0,success,12,0,0,12,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,7,1,-15,0.976926,0.976926,0,success,15,0,0,15,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,7,1,-9,0.715236,0.715236,0,success,9,0,0,9,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,7,1,-6,0.609271,0.609271,0,success,6,0,0,6,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,7,1,-9,0.707986,0.707986,0,success,9,0,0,9,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,7,1,-5,0.543713,0.543713,0,success,5,0,0,5,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,7,1,-8,0.549285,0.549285,0,success,8,0,0,8,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,7,1,-6,0.446513,0.446513,0,success,6,0,0,6,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,7,1,-12,0.804502,0.804502,0,success,12,0,0,12,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,9,1,-86,4.95956,4.95956,0,success,86,0,0,86,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,9,1,-88,11.5755,11.5755,0,success,88,0,0,88,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,9,1,-117,5.88598,5.88598,0,success,117,0,0,117,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,9,1,-107,5.04212,5.04212,0,success,107,0,0,107,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,9,1,-102,5.2751,5.2751,0,success,102,0,0,102,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,9,1,-84,4.47234,4.47234,0,success,84,0,0,84,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,9,1,-122,6.09334,6.09334,0,success,122,0,0,122,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,9,1,-83,4.33073,4.33073,0,success,83,0,0,83,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,9,1,-115,5.72342,5.72342,0,success,115,0,0,115,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,9,1,-108,5.69485,5.69485,0,success,108,0,0,108,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,9,1,-99,4.5826,4.5826,0,success,99,0,0,99,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,9,1,-96,4.57528,4.57528,0,success,96,0,0,96,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,9,1,-98,3.40003,3.40003,0,success,98,0,0,98,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,9,1,-88,4.6405,4.6405,0,success,88,0,0,88,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,9,1,-103,3.7957,3.7957,0,success,103,0,0,103,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,9,1,-86,3.34917,3.34917,0,success,86,0,0,86,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,9,1,-84,4.63954,4.63954,0,success,84,0,0,84,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,9,1,-87,3.45373,3.45373,0,success,87,0,0,87,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,9,1,-99,3.80408,3.80408,0,success,99,0,0,99,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,9,1,-111,5.74823,5.74823,0,success,111,0,0,111,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,9,1,-99,5.17972,5.17972,0,success,99,0,0,99,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,9,1,-91,5.10375,5.10375,0,success,91,0,0,91,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,9,1,-126,5.89783,5.89783,0,success,126,0,0,126,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,9,1,-97,3.48389,3.48389,0,success,97,0,0,97,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,9,1,-69,3.68287,3.68287,0,success,69,0,0,69,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,9,1,-89,4.84265,4.84265,0,success,89,0,0,89,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,9,1,-106,5.11394,5.11394,0,success,106,0,0,106,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,9,1,-122,5.86525,5.86525,0,success,122,0,0,122,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,9,1,-106,5.33266,5.33266,0,success,106,0,0,106,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,9,1,-91,4.57283,4.57283,0,success,91,0,0,91,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,10,1,-7,0.63465,0.63465,0,success,7,0,0,7,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,10,1,-4,0.485919,0.485919,0,success,4,0,0,4,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,10,1,-11,0.511129,0.511129,0,success,11,0,0,11,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,10,1,-6,0.604673,0.604673,0,success,6,0,0,6,0,0,0,-,-,-,-,-
